subregion,year,native_class,pixel_count,area_ha
SACN,1992,harvest,10785,970.65
SACN,1992,unknown,171,15.39
SACN,1993,beaver,74,6.66
SACN,1993,development,4040,363.6
SACN,1993,harvest,9006,810.54
SACN,1993,unknown,104,9.36
SACN,1994,agriculture,16,1.44
SACN,1994,beaver,20,1.8
SACN,1994,development,6768,609.12
SACN,1994,harvest,20568,1851.12
SACN,1994,unknown,412,37.08
SACN,1995,agriculture,79,7.11
SACN,1995,development,2388,214.92
SACN,1995,harvest,8862,797.58
SACN,1996,agriculture,100,9.0
SACN,1996,beaver,178,16.02
SACN,1996,development,9999,899.91
SACN,1996,harvest,12195,1097.55
SACN,1996,unknown,70,6.3
SACN,1997,agriculture,435,39.15
SACN,1997,beaver,305,27.45
SACN,1997,development,17141,1542.69
SACN,1997,harvest,32944,2964.96
SACN,1997,unknown,21,1.89
SACN,1998,agriculture,61,5.49
SACN,1998,beaver,19,1.71
SACN,1998,development,11761,1058.49
SACN,1998,harvest,5941,534.69
SACN,1999,agriculture,308,27.72
SACN,1999,beaver,104,9.36
SACN,1999,development,5798,521.82
SACN,1999,harvest,12753,1147.77
SACN,2000,agriculture,184,16.56
SACN,2000,beaver,270,24.3
SACN,2000,development,7101,639.09
SACN,2000,harvest,8614,775.26
SACN,2000,unknown,24,2.16
SACN,2001,beaver,271,24.39
SACN,2001,blowdown,7657,689.13
SACN,2001,development,5121,460.89
SACN,2001,harvest,24827,2234.43
SACN,2001,unknown,73,6.57
SACN,2002,agriculture,27,2.43
SACN,2002,beaver,22,1.98
SACN,2002,development,1682,151.38
SACN,2002,harvest,9158,824.22
SACN,2002,unknown,54,4.86
SACN,2003,agriculture,10,0.9
SACN,2003,beaver,233,20.97
SACN,2003,development,5328,479.52
SACN,2003,harvest,12539,1128.51
SACN,2003,unknown,104,9.36
SACN,2004,agriculture,230,20.7
SACN,2004,beaver,217,19.53
SACN,2004,development,4073,366.57
SACN,2004,flooding,12,1.08
SACN,2004,harvest,16816,1513.44
SACN,2005,agriculture,366,32.94
SACN,2005,beaver,204,18.36
SACN,2005,development,3225,290.25
SACN,2005,harvest,10338,930.42
SACN,2005,unknown,46,4.14
SACN,2006,agriculture,111,9.99
SACN,2006,beaver,387,34.83
SACN,2006,development,4694,422.46
SACN,2006,harvest,16042,1443.78
SACN,2006,insect_disease_mort,9,0.81
SACN,2006,unknown,130,11.7
SACN,2007,agriculture,216,19.44
SACN,2007,beaver,30,2.7
SACN,2007,development,1504,135.36
SACN,2007,harvest,11070,996.3
SACN,2007,unknown,22,1.98
SACN,2008,agriculture,38,3.42
SACN,2008,beaver,87,7.83
SACN,2008,development,937,84.33
SACN,2008,harvest,13051,1174.59
SACN,2008,insect_disease_mort,69,6.21
SACN,2009,agriculture,493,44.37
SACN,2009,beaver,84,7.56
SACN,2009,development,735,66.15
SACN,2009,harvest,12999,1169.91
SACN,2010,agriculture,375,33.75
SACN,2010,beaver,119,10.71
SACN,2010,development,495,44.55
SACN,2010,flooding,9,0.81
SACN,2010,harvest,26509,2385.81
SACN,2010,unknown,160,14.4
SACN,2011,agriculture,1021,91.89
SACN,2011,beaver,40,3.6
SACN,2011,development,531,47.79
SACN,2011,flooding,22,1.98
SACN,2011,harvest,30550,2749.5
SACN,2011,unknown,73,6.57
SACN,2012,agriculture,604,54.36
SACN,2012,beaver,178,16.02
SACN,2012,development,2616,235.44
SACN,2012,flooding,13,1.17
SACN,2012,harvest,16315,1468.35
SACN,2012,unknown,132,11.88
SACN,2013,agriculture,650,58.5
SACN,2013,beaver,71,6.39
SACN,2013,development,905,81.45
SACN,2013,harvest,11620,1045.8
SACN,2013,unknown,9,0.81
SACN,2014,agriculture,39,3.51
SACN,2014,beaver,203,18.27
SACN,2014,development,1223,110.07
SACN,2014,harvest,10657,959.13
SACN,2014,insect_disease_mort,13,1.17
SACN,2014,unknown,201,18.09
SACN,2015,agriculture,61,5.49
SACN,2015,beaver,36,3.24
SACN,2015,development,857,77.13
SACN,2015,flooding,12,1.08
SACN,2015,harvest,11736,1056.24
SACN,2015,insect_disease_mort,79,7.11
SACN,2015,unknown,100,9.0
SACN,2016,agriculture,198,17.82
SACN,2016,beaver,178,16.02
SACN,2016,development,1771,159.39
SACN,2016,flooding,95,8.55
SACN,2016,harvest,7718,694.62
SACN,2016,unknown,58,5.22
SACN,2017,agriculture,165,14.85
SACN,2017,beaver,204,18.36
SACN,2017,development,2573,231.57
SACN,2017,flooding,45,4.05
SACN,2017,harvest,8947,805.23
SACN,2017,insect_disease_mort,26,2.34
SACN,2017,unknown,374,33.66
SACN,2018,agriculture,57,5.13
SACN,2018,beaver,51,4.59
SACN,2018,development,1140,102.6
SACN,2018,flooding,22,1.98
SACN,2018,harvest,6485,583.65
SACN,2018,unknown,84,7.56
SACN,2019,agriculture,137,12.33
SACN,2019,beaver,18,1.62
SACN,2019,development,1359,122.31
SACN,2019,flooding,52,4.68
SACN,2019,harvest,9656,869.04
SACN,2019,unknown,70,6.3
SACN,2020,beaver,663,59.67
SACN,2020,development,1353,121.77
SACN,2020,flooding,140,12.6
SACN,2020,harvest,6598,593.82
SACN,2020,unknown,531,47.79
SLBE,1990,agriculture,85,7.65
SLBE,1990,development,1460,131.4
SLBE,1990,harvest,3254,292.86
SLBE,1991,agriculture,69,6.21
SLBE,1991,development,1025,92.25
SLBE,1991,harvest,3061,275.49
SLBE,1992,agriculture,343,30.87
SLBE,1992,development,1722,154.98
SLBE,1992,harvest,1818,163.62
SLBE,1993,agriculture,144,12.96
SLBE,1993,development,1304,117.36
SLBE,1993,harvest,862,77.58
SLBE,1994,agriculture,10,0.9
SLBE,1994,development,1840,165.6
SLBE,1994,harvest,2289,206.01
SLBE,1995,development,2604,234.36
SLBE,1995,harvest,3817,343.53
SLBE,1996,agriculture,298,26.82
SLBE,1996,development,4343,390.87
SLBE,1996,harvest,1403,126.27
SLBE,1997,agriculture,28,2.52
SLBE,1997,development,3593,323.37
SLBE,1997,harvest,2468,222.12
SLBE,1998,agriculture,82,7.38
SLBE,1998,development,2366,212.94
SLBE,1998,harvest,2998,269.82
SLBE,1999,agriculture,192,17.28
SLBE,1999,development,1663,149.67
SLBE,1999,harvest,1504,135.36
SLBE,2000,agriculture,131,11.79
SLBE,2000,development,3000,270.0
SLBE,2000,flooding,29,2.61
SLBE,2000,harvest,1685,151.65
SLBE,2001,agriculture,52,4.68
SLBE,2001,development,2932,263.88
SLBE,2001,harvest,2587,232.83
SLBE,2002,agriculture,266,23.94
SLBE,2002,development,1715,154.35
SLBE,2002,harvest,2612,235.08
SLBE,2003,agriculture,459,41.31
SLBE,2003,development,2663,239.67
SLBE,2003,flooding,12,1.08
SLBE,2003,harvest,2461,221.49
SLBE,2003,insect_disease_mort,59,5.31
SLBE,2004,agriculture,107,9.63
SLBE,2004,development,2311,207.99
SLBE,2004,harvest,2141,192.69
SLBE,2005,agriculture,107,9.63
SLBE,2005,development,2937,264.33
SLBE,2005,harvest,3484,313.56
SLBE,2006,agriculture,487,43.83
SLBE,2006,blowdown,9,0.81
SLBE,2006,development,3530,317.7
SLBE,2006,harvest,5750,517.5
SLBE,2006,insect_disease_mort,96,8.64
SLBE,2006,unknown,15,1.35
SLBE,2007,agriculture,585,52.65
SLBE,2007,development,1501,135.09
SLBE,2007,harvest,3340,300.6
SLBE,2007,unknown,125,11.25
SLBE,2008,agriculture,514,46.26
SLBE,2008,development,811,72.99
SLBE,2008,harvest,2840,255.6
SLBE,2009,agriculture,1119,100.71
SLBE,2009,development,644,57.96
SLBE,2009,harvest,6680,601.2
SLBE,2010,agriculture,642,57.78
SLBE,2010,development,282,25.38
SLBE,2010,harvest,3917,352.53
SLBE,2010,insect_disease_mort,13,1.17
SLBE,2010,unknown,14,1.26
SLBE,2011,agriculture,1361,122.49
SLBE,2011,development,303,27.27
SLBE,2011,harvest,2422,217.98
SLBE,2011,unknown,59,5.31
SLBE,2012,agriculture,1550,139.5
SLBE,2012,development,872,78.48
