us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
78,2020,unknown,61.63695716195312
78,2020,unknown,135.62124636272128
78,2020,unknown,87.75644178625166
78,2020,unknown,38.82549197624507
78,2020,unknown,42.469635660814085
78,2020,unknown,501.15285168866285
78,2020,unknown,128.7056830138431
78,2020,unknown,259.5748950479857
78,2020,unknown,71.25211981603434
78,2020,unknown,94.05967626796813
78,2020,unknown,45.62598710036131
78,2020,unknown,40.16114813681524
78,2020,unknown,54.47903557744231
78,2020,unknown,22.714968634004617
78,2020,unknown,36.50369138186473
78,2020,unknown,93.20802400947224
78,2020,unknown,115.91384594038378
78,2020,unknown,66.19872095566268
78,2020,unknown,80.8495504680755
78,2020,unknown,98.77578510813785
78,2020,unknown,66.9400942458227
78,2020,unknown,33.918691155604954
78,2020,unknown,39.66262304175112
78,2020,unknown,30.825653424254014
78,2020,unknown,71.32273067618853
78,2020,unknown,111.19190213118243
78,2020,unknown,64.8671058312912
78,2020,unknown,38.868812851323796
78,2020,unknown,60.10229685859936
78,2020,unknown,261.6403721891779
78,2020,unknown,37.940295348573365
78,2020,unknown,34.36731116953242
78,2020,unknown,181.416265421696
78,2020,unknown,102.68191117164092
78,2020,unknown,93.9159315648133
78,2020,unknown,40.59507948075489
78,2020,unknown,160.55511644041013
78,2020,unknown,109.73638048288812
78,2020,unknown,88.31626938477329
78,2020,unknown,71.4073114839487
78,2020,unknown,137.9425609979604
78,2020,unknown,104.56764850043287
78,2020,unknown,28.53518936635582
78,2020,unknown,57.01212485490856
78,2020,unknown,25.548029110081128
78,2020,unknown,92.90200279411609
78,2020,unknown,130.74078886969218
78,2020,unknown,127.4059004720065
78,2020,unknown,64.79941688816825
78,2020,unknown,34.651928908521654
78,2020,unknown,149.41290544888147
78,2020,unknown,206.7178155164691
78,2020,unknown,120.94650197126865
78,2020,unknown,179.66682057990022
78,2020,unknown,37.16035603150194
78,2020,unknown,134.35526932695876
78,2020,unknown,110.99387823897784
78,2020,unknown,99.11106071115833
78,2020,unknown,70.89284583241884
78,2020,unknown,16.708894400924923
78,2020,unknown,22.482363349324892
78,2020,unknown,16.85339248166393
78,2020,unknown,118.34137134076418
78,2020,unknown,223.277474760156
78,2020,unknown,174.21938023653018
78,2020,unknown,162.51316089043297
78,2020,unknown,55.893601115564024
78,2020,unknown,76.43642403970206
78,2020,unknown,127.78810909103623
78,2020,unknown,93.15807870347687
78,2020,unknown,136.11165298769347
78,2020,unknown,218.6599783665225
78,2020,unknown,349.08085825432465
78,2020,unknown,153.74875728716097
78,2020,unknown,36.94188185042553
78,2020,unknown,76.5782076495649
78,2020,unknown,315.09749385036724
78,2020,unknown,106.37134208839248
78,2020,unknown,32.531002558174016
