us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
1,2020,unknown,82.9476362291122
1,2020,unknown,35.47919528702702
1,2020,unknown,70.16708173415692
1,2020,unknown,34.09548398493911
1,2020,unknown,34.54037425682717
1,2020,unknown,46.635065465857075
1,2020,unknown,22.843219926058556
1,2020,unknown,36.29705812607377
1,2020,unknown,44.49484062583475
1,2020,unknown,74.77843646302335
1,2020,unknown,143.53612050552132
1,2020,unknown,28.805648399350332
1,2020,unknown,63.40900138835578
1,2020,unknown,71.11339404044678
1,2020,unknown,23.77306858819704
1,2020,unknown,383.6473256876176
1,2020,unknown,15.55080865502312
1,2020,unknown,226.64440046245943
1,2020,unknown,39.43818693913167
1,2020,unknown,44.51378379777396
1,2020,unknown,63.68823043620549
1,2020,unknown,26.41161235938208
1,2020,unknown,83.03979434700508
1,2020,unknown,43.84127571142595
1,2020,unknown,47.34009256562886
1,2020,unknown,10.08769768803866
1,2020,unknown,255.23648529213548
1,2020,unknown,28.537835085813605
1,2020,unknown,67.86285530937242
1,2020,unknown,600.6856961588494
1,2020,unknown,89.54206864121761
1,2020,unknown,82.7231482826737
1,2020,unknown,65.38494908021407
1,2020,unknown,190.1031499889942
1,2020,unknown,144.04237984328216
1,2020,unknown,46.567468430493015
1,2020,unknown,30.79509320069886
1,2020,unknown,137.44252219826285
1,2020,unknown,188.49788469619372
1,2020,unknown,293.11282760380686
1,2020,unknown,271.59853649036893
1,2020,unknown,18.322325489248065
1,2020,unknown,114.37542179839608
1,2020,unknown,45.68545825551297
1,2020,unknown,123.7642051426806
1,2020,unknown,121.8503101524517
1,2020,unknown,91.02651378698197
1,2020,unknown,65.3810619250637
1,2020,unknown,57.4177160131855
1,2020,unknown,58.74935547405427
1,2020,unknown,29.733006999288154
1,2020,unknown,65.74486302354182
1,2020,unknown,428.0368637999802
1,2020,unknown,47.483779603282265
1,2020,unknown,86.8857070038683
1,2020,unknown,44.57818309408131
1,2020,unknown,237.82570620592816
1,2020,unknown,172.18549633873423
1,2020,unknown,68.86728250412608
1,2020,unknown,61.575815893285714
1,2020,unknown,141.2125471400967
1,2020,unknown,44.471265173018566
1,2020,unknown,118.54111081654716
1,2020,unknown,34.45642835337705
1,2020,unknown,46.07752744254827
1,2020,unknown,106.16284318694186
1,2020,unknown,298.96421272023895
1,2020,unknown,35.843875465539426
1,2020,unknown,105.81399578998011
1,2020,unknown,131.59895679700705
1,2020,unknown,172.64988557044953
1,2020,unknown,88.68217872852674
1,2020,unknown,227.62091693476034
1,2020,unknown,59.61667311449854
1,2020,unknown,207.2858367014536
1,2020,unknown,65.14016188414006
1,2020,unknown,257.71450910002034
1,2020,unknown,100.77731008416545
1,2020,unknown,30.85213466059526
1,2020,unknown,20.02917473252647
1,2020,unknown,88.3106942483096
1,2020,unknown,34.71705428644528
1,2020,unknown,113.91686541582847
1,2020,unknown,80.1366057715125
1,2020,unknown,102.1354899916358
1,2020,unknown,33.08650382269018
78,2020,unknown,17.77470820053596
78,2020,unknown,25.600474164296518
78,2020,unknown,35.88622393106646
78,2020,unknown,11.119976668184302
78,2020,unknown,153.08021752337737
78,2020,unknown,46.3505334531552
78,2020,unknown,15.665125972301814
78,2020,unknown,83.38792781772304
78,2020,unknown,112.18935722902138
78,2020,unknown,27.63183319888928
78,2020,unknown,69.53263175725236
78,2020,unknown,51.948914904470755
78,2020,unknown,48.645600460185726
78,2020,unknown,32.43480288104503
78,2020,unknown,25.626561338830385
78,2020,unknown,95.38068660500798
78,2020,unknown,61.7255797770366
78,2020,unknown,20.764946211038637
78,2020,unknown,59.23308304123128
78,2020,unknown,69.78316931512792
78,2020,unknown,33.84526259695843
78,2020,unknown,26.800497174431058
78,2020,unknown,17.511518456316303
78,2020,unknown,27.056992808248314
78,2020,unknown,21.033447881285895
78,2020,unknown,44.742814414357866
78,2020,unknown,62.97000022957519
78,2020,unknown,130.07819318979986
78,2020,unknown,99.7190727963299
78,2020,unknown,75.97030194831923
78,2020,unknown,60.6102313673661
78,2020,unknown,23.311562082113664
78,2020,unknown,24.386892256651297
78,2020,unknown,14.0020766517179
78,2020,unknown,18.616317658278984
78,2020,unknown,96.1229410278929
78,2020,unknown,43.80971640130988
78,2020,unknown,38.6656798332989
78,2020,unknown,26.63684006460562
78,2020,unknown,26.41554228681527
