huc6_code,SURVEY_YEAR,DCA_COMMON_NAME,area_m2
190204,2019,spruce beetle,0.3012412205951426
190204,2019,birch leafminer,364.73716648238883
190204,2019,birch leafminer,252.33561178689266
190803,2019,willow leaf blotchminer,1182.0789688740883
190204,2019,birch leafminer,1240.0363977685772
190101,2019,yellow-cedar decline,1488.1055235798522
190803,2019,aspen leafminer,1182.0789688740883
190204,2019,spruce beetle,1240.0363977685772
190203,2019,birch leafminer,0.26608925074164347
190203,2019,spruce beetle,0.26608925074164347
190101,2019,hemlock sawfly,1488.1055235798522
190205,2019,spruce beetle,532.3586465172141
190203,2019,spruce beetle,70.81546309862318
190203,2020,spruce beetle,337.121582314955
190103,2020,hemlock sawfly,379.8724595523382
190103,2020,hemlock sawfly,322.698581806731
190101,2020,hemlock sawfly,388.35935941699876
190204,2020,spruce beetle,371.262820091485
190103,2020,hemlock sawfly,1611.2555360436725
190103,2020,hemlock sawfly,417.40881233820977
190204,2020,unknown defoliator,371.262820091485
190101,2020,hemlock sawfly,388.35935941699876
190102,2021,western blackheaded budworm,916.4494160218588
190102,2021,western blackheaded budworm,331.04549048973166
190102,2021,hemlock sawfly,331.04549048973166
190803,2023,spruce beetle,224.9745917620044
190803,2023,spruce beetle,226.72969432005561
190101,2023,yellow-cedar decline,555.284160698134
