subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
SLBE,2000,harvest,1685,151.65,34.778
SLBE,2000,agriculture,131,11.79,2.704
SLBE,2000,flooding,29,2.61,0.599
SLBE,2001,development,2932,263.88,52.63
SLBE,2001,harvest,2587,232.83,46.437
SLBE,2001,agriculture,52,4.68,0.933
SLBE,2002,harvest,2612,235.08,56.869
SLBE,2002,development,1715,154.35,37.339
SLBE,2002,agriculture,266,23.94,5.791
SLBE,2003,development,2663,239.67,47.099
SLBE,2003,harvest,2461,221.49,43.527
SLBE,2003,agriculture,459,41.31,8.118
SLBE,2003,insect_disease_mort,59,5.31,1.044
SLBE,2003,flooding,12,1.08,0.212
SLBE,2004,development,2311,207.99,50.691
SLBE,2004,harvest,2141,192.69,46.962
SLBE,2004,agriculture,107,9.63,2.347
SLBE,2005,harvest,3484,313.56,53.37
SLBE,2005,development,2937,264.33,44.991
SLBE,2005,agriculture,107,9.63,1.639
SLBE,2006,harvest,5750,517.5,58.157
SLBE,2006,development,3530,317.7,35.703
SLBE,2006,agriculture,487,43.83,4.926
SLBE,2006,insect_disease_mort,96,8.64,0.971
SLBE,2006,unknown,15,1.35,0.152
SLBE,2006,blowdown,9,0.81,0.091
SLBE,2007,harvest,3340,300.6,60.169
SLBE,2007,development,1501,135.09,27.04
SLBE,2007,agriculture,585,52.65,10.539
SLBE,2007,unknown,125,11.25,2.252
SLBE,2008,harvest,2840,255.6,68.187
SLBE,2008,development,811,72.99,19.472
SLBE,2008,agriculture,514,46.26,12.341
SLBE,2009,harvest,6680,601.2,79.119
SLBE,2009,agriculture,1119,100.71,13.254
SLBE,2009,development,644,57.96,7.628
SLBE,2010,harvest,3917,352.53,80.464
SLBE,2010,agriculture,642,57.78,13.188
SLBE,2010,development,282,25.38,5.793
SLBE,2010,unknown,14,1.26,0.288
SLBE,2010,insect_disease_mort,13,1.17,0.267
SLBE,2011,harvest,2422,217.98,58.432
SLBE,2011,agriculture,1361,122.49,32.835
SLBE,2011,development,303,27.27,7.31
SLBE,2011,unknown,59,5.31,1.423
SLBE,2012,harvest,5992,539.28,69.853
SLBE,2012,agriculture,1550,139.5,18.069
SLBE,2012,development,872,78.48,10.166
SLBE,2012,insect_disease_mort,144,12.96,1.679
SLBE,2012,unknown,20,1.8,0.233
SLBE,2013,harvest,2394,215.46,79.245
SLBE,2013,agriculture,365,32.85,12.082
SLBE,2013,development,262,23.58,8.673
SLBE,2014,harvest,8392,755.28,78.232
SLBE,2014,development,938,84.42,8.744
SLBE,2014,agriculture,917,82.53,8.549
SLBE,2014,insect_disease_mort,480,43.2,4.475
SLBE,2015,harvest,6363,572.67,71.254
SLBE,2015,agriculture,1133,101.97,12.688
SLBE,2015,development,931,83.79,10.426
SLBE,2015,insect_disease_mort,286,25.74,3.203
SLBE,2015,blowdown,185,16.65,2.072
SLBE,2015,unknown,32,2.88,0.358
SLBE,2016,blowdown,5359,482.31,46.551
SLBE,2016,harvest,4317,388.53,37.5
SLBE,2016,development,997,89.73,8.661
SLBE,2016,agriculture,592,53.28,5.142
SLBE,2016,insect_disease_mort,213,19.17,1.85
SLBE,2016,unknown,34,3.06,0.295
SLBE,2017,harvest,5539,498.51,84.013
SLBE,2017,development,476,42.84,7.22
SLBE,2017,unknown,359,32.31,5.445
SLBE,2017,agriculture,197,17.73,2.988
SLBE,2017,insect_disease_mort,22,1.98,0.334
SLBE,2018,harvest,4494,404.46,55.155
SLBE,2018,agriculture,2000,180.0,24.546
SLBE,2018,development,1606,144.54,19.71
SLBE,2018,insect_disease_mort,48,4.32,0.589
SLBE,2019,harvest,5480,493.2,75.461
SLBE,2019,development,946,85.14,13.027
SLBE,2019,agriculture,509,45.81,7.009
SLBE,2019,insect_disease_mort,165,14.85,2.272
SLBE,2019,unknown,162,14.58,2.231
SLBE,2020,harvest,7036,633.24,76.131
SLBE,2020,development,1496,134.64,16.187
SLBE,2020,agriculture,459,41.31,4.966
SLBE,2020,insect_disease_mort,242,21.78,2.618
SLBE,2020,unknown,9,0.81,0.097
SLBE,2021,harvest,4349,391.41,66.928
SLBE,2021,development,1641,147.69,25.254
SLBE,2021,insect_disease_mort,340,30.6,5.232
SLBE,2021,agriculture,154,13.86,2.37
SLBE,2021,unknown,14,1.26,0.215
VOYA,1995,harvest,30384,2734.56,95.752
VOYA,1995,beaver,784,70.56,2.471
VOYA,1995,development,399,35.91,1.257
VOYA,1995,unknown,128,11.52,0.403
