dataset,aoi,year,change_class,Event_type,In_Park,Dist_name,Chnge_type,pct_own_area_outside,centroid_dist_to_aoi_m
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,6.318654336836604,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,20.757206890157704,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,8.469047076384577,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,20.25563001317372,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,26.557517476396633,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,26.632311687719348,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,7.318169668587754,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,7.128073397317977,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,6.945948958921533,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,23.09897606875598,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,47.43962841549108,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,36.03011100259472,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,1.1559535183733212,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,0.9583483987700105,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,1.5716353154941503,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,9.688613390060787,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,2.38871888264158,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,36.53046103596781,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Defoliation,Office,N,,,21.49652138494792,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,12.620481721335382,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,42.9245484694186,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,27.207284890308202,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,46.573132141132824,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,28.63252132003438,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,9.0204779715718,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,49.59280288487331,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2002,Defoliation,Office,N,,,4.776708863902357,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Riparian Change,Office,Y,,,1.2678495572667114,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,20.300356355191546,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,5.6909342861481385,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,18.658293704795966,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,54.54500087935824,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,27.832777711587784,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,47.447036301026486,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2003,Defoliation,Office,N,,,48.94842038372973,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2004,Defoliation,Office,N,,,2.467769996737282,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2004,Defoliation,Office,N,,,1.5149186803685872,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2004,Defoliation,Office,N,,,4.92754692551394,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2004,Defoliation,Office,N,,,49.07076569312485,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2004,Defoliation,Office,N,,,50.517158642346814,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2005,Defoliation,Office,N,,,14.434335931842893,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2006,Defoliation,Office,N,,,4.457212267689203,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2006,Defoliation,Office,N,,,8.84597255631494,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2006,Defoliation,Office,N,,,13.156952738443394,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2006,Riparian Change,Office,Y,,,1.2122025968591916,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2006,Defoliation,Office,N,,,8.516465122885647,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,5.783647509280202,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,7.780150487698865,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,0.024557207968076825,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,19.348013760672885,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,17.086533076687655,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,0.5760339594618202,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,5.249861888275165,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,35.18900880312103,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,12.550545748315031,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,0.4922304231117887,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,9.47912604986943,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,19.5226162826943,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,5.2678814658602775,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,0.15165678676353014,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,0.837641513347088,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,29.97704952077515,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,38.58734474333779,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Riparian Change,Office,Y,,,46.342739869013656,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Fire,Office,N,Rattlesnake Creek,,30.087496085817893,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2008,Avalanche,Office,N,,,4.393853206343603,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2010,Defoliation,Office,N,,,44.53397793805668,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2009,Fire,Office,N,Twin Peaks,,22.05405673138761,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2007,Fire,Office,N,Rattlesnake Creek,,0.00011337803175622127,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2001,Fire,Office,N,Dog Creek,,0.8685292924603284,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2017,Fire,Office,N,Norse Peak,,1.009948874387661,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2017,Fire,Office,N,Norse Peak,,19.32522710652599,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2017,Fire,Office,N,Norse Peak,,16.191852237876233,0.0
MORA_1987_2017_V2_1_1_UTM,protected_areas,2017,Fire,Office,N,American,,0.6357165862895424,0.0
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1987,Defoliation,Office,N,,,99.99999999999999,6442.439211304302
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Defoliation,Office,N,,,100.0,5664.424610631712
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,100.0,4497.900855775364
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,100.0,5246.76824916221
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,100.0,4500.392467682968
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,100.00000000000001,4952.313798299961
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,100.0,4874.228659497784
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,99.99999999999999,5255.76418669247
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1990,Fire,Office,N,Canoe Creek,,100.00000000000003,5500.42761021277
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1994,Defoliation,Office,N,,,100.0,6073.825058438711
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,99.99999999999994,3647.476564522815
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.00000000000001,4523.266899809458
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.00000000000001,4359.127272973692
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.00000000000001,4214.954610772189
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,4034.1236579658466
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,4614.510838993706
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1996,Avalanche,Office,N,,,100.0,7156.7838381419915
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,3606.6264350500114
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,3462.8512570371045
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,3763.615212024321
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,99.99999999999999,3160.3410952928525
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,3013.391863031741
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,99.99999999999999,3732.5377866325484
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.00000000000009,3524.1581134153794
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.0,3737.116231482557
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,99.99999999999997,4284.80319735911
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.00000000000003,4716.781549380209
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1995,Fire,Office,N,Prince Creek,,100.00000000000003,3931.0764858857633
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1997,Avalanche,Office,N,,,100.0,7243.960051340353
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,1997,Riparian Change,Office,N,,,0.03723099686511513,0.0
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.00000000000001,1338.2021900999455
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,99.99999999999999,1645.7234785444557
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.00000000000001,1525.706761110323
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.0,6914.216115941327
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.0,9480.646384509435
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.0,2360.816206106404
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.0,317.3074670979794
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,99.99999999999999,1966.647371002742
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,99.99999999999996,3787.7687818898667
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.0,6442.401437489284
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,100.00000000000001,4038.8578850927333
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2000,Defoliation,Office,N,,,99.99999999999999,6722.093818881012
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Defoliation,Office,N,,,5.036859964888792,0.0
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Defoliation,Office,N,,,45.5121491397557,0.0
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,99.99999999999997,545.1068699460752
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,2094.648823909134
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,99.96034249483131,104.93938208067739
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,747.296120222943
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,99.99999999999999,2014.9489686745421
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,99.99999999999999,2447.128663249049
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,800.5350718441852
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,44.05276814162071,5.127674851455261
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,944.1429838050237
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.00000000000001,2598.7443459908604
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,959.290229179549
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,3111.37036650248
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,37.51772120291617,0.0
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,649.5475322901675
NOCA_1987_2017_V2_1_1_UTM,lpa01_10mi_buffer,2001,Fire,Office,N,Rex Creek,,100.0,224.6970103719951
